# segments for voice/raw/Scene_1.wav
# total duration: 77.61s, speech duration: 35.93s
start	end	duration
1.07	1.48	0.42
2.16	2.59	0.43
8.29	9.14	0.85
10.08	10.98	0.90
11.44	13.29	1.85
13.82	14.98	1.16
15.58	21.55	5.97
22.74	23.98	1.23
25.72	27.82	2.10
28.77	30.36	1.59
31.92	32.53	0.62
33.19	33.30	0.11
34.52	35.07	0.55
35.79	36.22	0.43
38.25	41.09	2.84
42.36	43.33	0.98
43.94	46.98	3.04
47.39	49.62	2.23
50.59	51.99	1.40
53.91	54.18	0.27
54.79	56.99	2.20
58.26	58.66	0.39
59.41	59.98	0.57
60.82	63.13	2.31
63.59	63.65	0.06
64.13	65.31	1.19
71.16	71.30	0.14
72.88	73.00	0.13
