# segments for voice/raw/Scene_3.wav
# total duration: 99.29s, speech duration: 44.99s
start	end	duration
7.55	7.55	0.00
10.37	10.50	0.13
11.50	11.87	0.38
16.32	17.85	1.53
18.43	18.43	0.00
21.33	23.83	2.50
25.37	25.49	0.11
26.04	28.79	2.75
29.52	29.54	0.02
29.95	30.09	0.14
31.46	32.71	1.26
33.19	34.48	1.28
35.61	36.46	0.85
39.24	39.24	0.00
40.01	40.03	0.02
42.55	43.36	0.80
43.80	47.59	3.79
48.30	49.92	1.62
50.35	51.40	1.05
53.03	54.49	1.46
55.22	55.87	0.66
56.74	56.83	0.09
57.34	58.04	0.70
60.34	60.63	0.29
61.16	62.54	1.37
63.01	64.02	1.01
64.58	67.43	2.85
67.87	69.95	2.08
70.85	73.13	2.28
75.63	75.64	0.01
78.23	78.23	0.00
78.72	79.31	0.59
79.94	82.60	2.66
83.04	84.92	1.89
85.58	91.23	5.65
91.74	94.27	2.53
96.89	97.30	0.40
98.12	98.35	0.23
99.29	99.29	0.00
